, '姓名', '简介,,,,,,,,,,,,,,,,,
0', '陈学东', '陈学东,特种设备设计制造与运行维护工程科技专家,安徽省铜陵市人,1986年毕业于浙江大学化工机械与设备专业,2004年获浙江大学化工过程机械专业博士学位,中国工程院院士,长期从事压力容器与管道安全工程技术的研究与应用，突破极端条件下压力容器设计、制造与维护关键难题，为我国重大承压设备自主设计制造和压力容器万台设备年事故率逐年下降做出了突出贡献,现任合肥通用机械研究院院长，兼任国家压力容器与管道安全工程技术研究中心主任,获得国家科技进步一等奖1项、二等奖5项，授权发明专利20多项，发表论文200余篇（其中SCI、EI论文80余篇）,,,,,,,,,
1', '邓宗全', '邓宗全（1956.10.02- ）,宇航空间机构学专家，黑龙江省双鸭山市宝清县人,1984年毕业于哈尔滨工业大学，获硕士学位,现任教育部高等学校机械基础课程教学指导委员会主任委员，宇航空间机构及控制技术国防重点学科实验室主任，哈尔滨工业大学教授,曾任国务院学位委员会机械工程学科评议组成员，哈尔滨工业大学副校长,,,,,,,,,,,,,
2', '丁荣军', '丁荣军（1961.11.12- ）,电力电子及控制技术专家,江苏省无锡市人,1984年毕业于西南交通大学电力机车专业,2008年获中南大学工学博士学位,现任株洲电力机车研究所所长，兼任变流技术国家工程研究中心主任，教授级高级工程师,,,,,,,,,,,,
3', '董春鹏', '董春鹏（1942.08.10- ）,水中兵器专家,河北省秦皇岛市人,1966年毕业于中国科技大学,现任中国船舶重工集团公司第七0五研究所某国家重点工程型号总设计师，研究员，博士生导师,总装备部科技委兼职委员，中国造船工程学会理事,享受国务院政府特殊津贴专家,曾任第七0五研究所总工程师,,,,,,,,,,
4', '樊会涛', '樊会涛（1962.10.18- ）,空空导弹专家,河南省汝阳县人,中共党员,1986年毕业于西北工业大学航空发动机专业，获硕士学位；2010年毕业于北京航空航天大学宇航推进理论与工程专业，获博士学位,曾任中国空空导弹研究院总设计师、副院长,现任中国航空工业集团有限公司科技委副主任，第十届、十一届、十二届、十三届全国人大代表,俄罗斯工程科学院外籍院士,,,,,,,,,,
5', '冯培德', '冯培德（1941.04.07- ）,飞行器导航控制专家,原籍广东恩平人,生于天津市,1963年本科毕业于北大数学力学系，1966年研究生毕业于南航自控制系，1981年至1983年赴美留学,现任中国航空工业集团公司科技委副主任，同时担任北京航空航天大学博士生导师,1984年至2001年任航空工业飞行自动控制研究所所长,国家大飞机工程专家咨询委员会成员，第十一届全国政协委员,,,,,,,,,,
6', '冯煜芳', '冯煜芳（1963.01.29- ）,导弹弹头与战斗部技术专家,浙江省余姚市人，中共党员,1987年毕业于国防科技大学，2008年获航天科技集团一院博士学位,曾任第二炮兵装备研究院第二研究所所长,现任火箭军研究院研究员,兼任国务院、中央军委军工产品定型委员会专家咨询委员会委员，第五届全军武器装备科学技术奖专家评审委员会委员，中央军委科学技术委员会核与军控领域专家委员会委员、弹头与战斗部技术专业组组长,,,,,,,,,,,
7', '甘晓华', '甘晓华（1957.01.12- ）,航空发动机专家,江西省进贤县人,1982年1月本科毕业于南京航空航天大学，1989年博士毕业于北京航空航天大学,第十、十一、十二届全国政协委员,曾任空军装备研究院总工程师，现任空军研究院航空兵研究所高级工程师、中国设备管理学会副会长、中国航空学会副理事长、学术委员会主任和动力分会主任,,,,,,,,,,,,
8', '高金吉', '高金吉（1942.12.01- ）,设备诊断工程专家,辽宁本溪人,1966年毕业于北京化工学院，1993年获清华大学工学博士学位,北京化工大学教授，校学术委员会主任,中国石油辽阳石化公司原副总工程师,现任高端机械装备健康监控与自愈化北京市重点实验室主任，GF973项目首席科学家，中国振动工程学会设备诊断分会主任委员,曾任中国振动工程学会副理事长，中国设备管理协会副会长,国家有突出贡献中青年科技专家,,,,,,,,,
9', '关杰', '关杰（1939.11.13- ）,连铸设备专家,生于印度尼西亚，福建莆田市人,1963年毕业于北京钢铁学院,现任中国重型机械研究院股份公司（原西安重型机械研究所）副总工程师、研究员级高级工程师,,,,,,,,,,,,,
10', '郭东明', '郭东明（1959.04.30- ）,机械制造及自动化专家,河南省温县人,1982年1月大连工学院本科毕业，1984年和1992年在该校硕士和博士研究生毕业，现任大连理工大学教授、博士生导师、校长,,,,,,,,,,,,,,
11', '何琳', '何琳（1957.11.11- ）,潜艇降噪技术专家,出生于西安市，四川省西充县人，中共党员,1984年毕业于海军工程学院，获硕士学位,现任海军工程大学舰船振动与噪声研究所所长、船舶振动噪声国防科技重点实验室副主任及学术委员会主任,,,,,,,,,,,,,
12', '侯晓', '侯晓（1963.10.08- ）,固体火箭发动机专家,陕西省岐山县人，中共党员，中国工程院院士，党的十九大代表、大会主席团成员，现任中国航天科技集团公司第四研究院副院长，院科技委主任,兼任西北工业大学博士生导师，中国复合材料学会副理事长，陕西省宇航学会理事长,,,,,,,,,,,,,,
13', '黄庆学', '黄庆学（1960.12.05- ）,轧钢机械设计专家,吉林省舒兰市人,1999年毕业于燕山大学，获工学博士学位,现任太原理工大学教授、博士生导师、校长，担任重型机械教育部工程研究中心主任、金属轧制精整装备国家地方联合工程研究中心主任，兼任中国机械工程学会常务理事、山西省机械工程学会理事长,,,,,,,,,,,,,
14', '黄先祥', '黄先祥（1940.04.20- ）,导弹发射与运用技术专家,江苏如东县人,1965年毕业于北京理工大学,现任第二炮兵工程大学教授、校科学技术委员会主任和学位委员会副主席，国家科技奖专家评审委员会委员，军队奖专家评审委员会副主任，中国系统仿真学会荣誉副理事长，总装备部科技委（兼职）委员，陕西省学位委员会委员,曾任国务院学位委员会学科评议组召集人，军队学位委员会委员,中国共产党十四大代表，第十、十一届全国政协委员,,,,,,,,,,,
15', '蒋庄德', '蒋庄德（1955.08.04- ）,机械制造及自动化专家,辽宁省庄河市人,民盟,1977年毕业于西安交通大学机械制造专业，1989年获西安交通大学机械制造专业工学硕士学位，2011年获英国伯明翰大学机械工程专业工学博士学位（Ph.D）,西安交通大学教授,教育部科学技术委员会副主任，国务院学位委员会学科评议组成员，中国机械工程学会副理事长，中国微米纳米技术学会副理事长，十一、十二届全国人大常委,,,,,,,,,,,
16', '金东寒', '金东寒（1961.01.11- ）,动力机械工程专家,生于黑龙江省绥化市，原籍浙江省新昌县,中共党员，第十九届候补中央委员,1989年毕业于中国舰船研究院并获博士学位,2001年任中船重工集团公司第七一一研究所总工程师，2004年2月至2015年6月任所长兼总工程师,现任上海大学党委书记、校长，兼任中国内燃机学会理事长、国际内燃机学会理事会（CIMAC）副主席、上海市科协副主席、国家科学技术奖评审专家、中船重工集团公司顾问、国家海上风力发电工程技术中心学术委员会主任、《内燃机工程》杂志主编,曾任第十一届全国政协委员、第十二届全国人大代表、中国共产党第十八届候补中央委员,,,,,,,,,,
17', '李椿萱', '李椿萱（1939.11.09- ）,空气动力学、航空航天飞行器设计、高速碰撞力学专家,原籍广东省新会市，出生于云南省昆明市,1963年毕业于台湾省成功大学获学士学位，1967、1972年分别毕业于美国新墨西哥州立大学与纽约州立大学获硕士、博士学位,北京航空航天大学教授,,,,,,,,,,,,,
18', '李德群', '李德群（1945.08.07- ）,材料成形专家,江苏省泰县人,1968年毕业于清华大学冶金系,1981年获华中工学院硕士学位,现任华中科技大学教授、材料学院学位审议委员会主任，曾任华中科技大学材料学院院长、国务院学位委员会材料学科评议组成员,从事塑料注射成形模拟和智能型塑料注射机的研究和开发工作，取得显著工程应用效果,获2002年、2007年国家科学进步二等奖、2010年国家自然科学二等奖,主撰著作4部、主编教材5本，发表论文330余篇,,,,,,,,,
19', '李骏', '李骏（1958.03.24- ）,汽车发动机专家,吉林省长春市人,1989年毕业于吉林工业大学内燃机专业，获博士学位,现任中国汽车工程学会理事长、中国智能网联汽车产业创新联盟专家委员会主任、清华大学汽车工程系教授,,,,,,,,,,,,,
20', '李魁武', '李魁武（1943.09.25- ）,我国陆军信息化自行高炮与弹炮结合末端防空/反导武器系统专家,河北省井陉县人，中共党员,1967年毕业于太原机械学院,曾任中国兵器工业集团第二〇二研究所总工程师、所长,现任中国兵工学会火炮专业委员会顾问,,,,,,,,,,,,
21', '李培根', '李培根（1948.12.27- ）,机械制造及自动化专家,湖北省武汉市人,1987年毕业于美国威斯新辛-麦迪逊大学，获博士学位,华中科技大学教授,1995-2002年任华中科技大学机械学院院长,2005年3月-2014年3月任华中科技大学校长,国家863/CIMS专家组成员、863/机器人专家组副组长、国家863自动化领域专家委成员,目前还担任中国机械工程学会理事长，中国高等教育学会副会长，国家863专家委员会成员，教育部高等学校机械学科教学指导委员会主任委员,,,,,,,,,
22', '李钊', '李钊（1940.02.03- ）,地雷爆破专家,河北省无极县人,1964年毕业于西安工程兵工程学院,获全国科学大会奖2项，国家科技进步奖一等奖1项、二等奖1项，军队科技进步奖一等奖1项,荣立二等功1次,,,,,,,,,,,,
